"","ID","Description","Count","GeneRatio","geneID"
"GO:0019222","GO:0019222","regulation of metabolic process",29,"29/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/MLH1/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN/FTO"
"GO:0032259","GO:0032259","methylation",3,"3/30","BRCA1/SIRT1/MGMT"
"GO:0042445","GO:0042445","hormone metabolic process",0,"0/30",""
"GO:0044033","GO:0044033","multi-organism metabolic process",3,"3/30","ERCC2/EP300/UBC"
"GO:0044237","GO:0044237","cellular metabolic process",30,"30/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/XRCC1/MLH1/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN/FTO"
"GO:0044238","GO:0044238","primary metabolic process",30,"30/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/XRCC1/MLH1/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN/FTO"
"GO:0044710","GO:0044710","single-organism metabolic process",30,"30/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/XRCC1/MLH1/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN/FTO"
"GO:0071704","GO:0071704","organic substance metabolic process",30,"30/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/XRCC1/MLH1/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN/FTO"
"GO:0098754","GO:0098754","detoxification",0,"0/30",""
"GO:1901902","GO:1901902","tyrocidine metabolic process",0,"0/30",""
"GO:1902421","GO:1902421","hydrogen metabolic process",0,"0/30",""
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity",0,"0/30",""
"GO:0031341","GO:0031341","regulation of cell killing",0,"0/30",""
"GO:0031342","GO:0031342","negative regulation of cell killing",0,"0/30",""
"GO:0031343","GO:0031343","positive regulation of cell killing",0,"0/30",""
"GO:0031640","GO:0031640","killing of cells of other organism",0,"0/30",""
"GO:0097278","GO:0097278","complement-dependent cytotoxicity",0,"0/30",""
"GO:0001776","GO:0001776","leukocyte homeostasis",1,"1/30","ABL1"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",5,"5/30","ATM/MLH1/MSH2/ERCC1/HMGB1"
"GO:0002252","GO:0002252","immune effector process",5,"5/30","TP53/MLH1/MSH2/ABL1/ERCC1"
"GO:0002253","GO:0002253","activation of immune response",5,"5/30","EP300/ABL1/MAPK8/UBC/HMGB1"
"GO:0002262","GO:0002262","myeloid cell homeostasis",1,"1/30","ERCC2"
"GO:0002339","GO:0002339","B cell selection",0,"0/30",""
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/30",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",3,"3/30","MLH1/MSH2/ERCC1"
"GO:0002507","GO:0002507","tolerance induction",1,"1/30","HMGB1"
"GO:0002520","GO:0002520","immune system development",11,"11/30","TP53/PARP1/ATM/BRCA2/MTOR/MLH1/ERCC2/MSH2/ABL1/ERCC1/HMGB1"
"GO:0002682","GO:0002682","regulation of immune system process",9,"9/30","EGFR/SIRT1/ATM/MTOR/EP300/ABL1/MAPK8/UBC/HMGB1"
"GO:0002683","GO:0002683","negative regulation of immune system process",1,"1/30","ATM"
"GO:0002684","GO:0002684","positive regulation of immune system process",7,"7/30","SIRT1/MTOR/EP300/ABL1/MAPK8/UBC/HMGB1"
"GO:0006955","GO:0006955","immune response",12,"12/30","TP53/EGFR/SIRT1/MTOR/MLH1/EP300/MSH2/ABL1/MAPK8/ERCC1/UBC/HMGB1"
"GO:0019882","GO:0019882","antigen processing and presentation",1,"1/30","UBC"
"GO:0031294","GO:0031294","lymphocyte costimulation",1,"1/30","MTOR"
"GO:0035172","GO:0035172","hemocyte proliferation",0,"0/30",""
"GO:0042386","GO:0042386","hemocyte differentiation",0,"0/30",""
"GO:0045058","GO:0045058","T cell selection",0,"0/30",""
"GO:0045321","GO:0045321","leukocyte activation",8,"8/30","TP53/ATM/MTOR/MLH1/MSH2/ABL1/ERCC1/HMGB1"
"GO:0050900","GO:0050900","leukocyte migration",1,"1/30","HMGB1"
"GO:0001545","GO:0001545","primary ovarian follicle growth",0,"0/30",""
"GO:0001546","GO:0001546","preantral ovarian follicle growth",0,"0/30",""
"GO:0001550","GO:0001550","ovarian cumulus expansion",0,"0/30",""
"GO:0016049","GO:0016049","cell growth",5,"5/30","TP53/SIRT1/MTOR/EP300/ABL1"
"GO:0007117","GO:0007117","budding cell bud growth",0,"0/30",""
"GO:0030447","GO:0030447","filamentous growth",0,"0/30",""
"GO:0040008","GO:0040008","regulation of growth",7,"7/30","TP53/SIRT1/PARP1/EP300/ABL1/WRN/FTO"
"GO:0042702","GO:0042702","uterine wall growth",0,"0/30",""
"GO:0044110","GO:0044110","growth involved in symbiotic interaction",0,"0/30",""
"GO:0045926","GO:0045926","negative regulation of growth",2,"2/30","TP53/SIRT1"
"GO:0045927","GO:0045927","positive regulation of growth",1,"1/30","EP300"
"GO:0048589","GO:0048589","developmental growth",7,"7/30","TP53/BRCA2/ERCC2/EP300/ABL1/ERCC1/FTO"
"GO:0080189","GO:0080189","primary growth",0,"0/30",""
"GO:0080190","GO:0080190","lateral growth",0,"0/30",""
"GO:0002209","GO:0002209","behavioral defense response",0,"0/30",""
"GO:0007622","GO:0007622","rhythmic behavior",1,"1/30","TP53"
"GO:0007626","GO:0007626","locomotory behavior",0,"0/30",""
"GO:0007631","GO:0007631","feeding behavior",0,"0/30",""
"GO:0019098","GO:0019098","reproductive behavior",0,"0/30",""
"GO:0044708","GO:0044708","single-organism behavior",3,"3/30","EGFR/PARP1/EP300"
"GO:0048520","GO:0048520","positive regulation of behavior",1,"1/30","HMGB1"
"GO:0048521","GO:0048521","negative regulation of behavior",0,"0/30",""
"GO:0050795","GO:0050795","regulation of behavior",1,"1/30","HMGB1"
"GO:0051705","GO:0051705","multi-organism behavior",0,"0/30",""
"GO:0051780","GO:0051780","behavioral response to nutrient",0,"0/30",""
"GO:0000920","GO:0000920","cell separation after cytokinesis",0,"0/30",""
"GO:0010496","GO:0010496","intercellular transport",0,"0/30",""
"GO:0019835","GO:0019835","cytolysis",0,"0/30",""
"GO:0016043","GO:0016043","cellular component organization",26,"26/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/BRCA2/MTOR/MLH1/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN"
"GO:0036166","GO:0036166","phenotypic switching",0,"0/30",""
"GO:0044763","GO:0044763","single-organism cellular process",30,"30/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/XRCC1/MLH1/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN/FTO"
"GO:0044764","GO:0044764","multi-organism cellular process",7,"7/30","TP53/SIRT1/ERCC2/EP300/NPM1/UBC/H2AFX"
"GO:0048522","GO:0048522","positive regulation of cellular process",24,"24/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/APEX1/PCNA/ERCC2/EP300/ABL1/MAPK8/NPM1/ERCC1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1"
"GO:0048523","GO:0048523","negative regulation of cellular process",24,"24/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/MLH1/APEX1/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/CDK2/H2AFX/HMGB1"
"GO:0050794","GO:0050794","regulation of cellular process",29,"29/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/MLH1/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN/FTO"
"GO:0051716","GO:0051716","cellular response to stimulus",30,"30/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/XRCC1/MLH1/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN/FTO"
"GO:0071554","GO:0071554","cell wall organization or biogenesis",0,"0/30",""
"GO:1990748","GO:1990748","cellular detoxification",0,"0/30",""
"GO:0003006","GO:0003006","developmental process involved in reproduction",8,"8/30","EGFR/SIRT1/ATM/BRCA2/MTOR/MLH1/MSH2/ERCC1"
"GO:0022413","GO:0022413","reproductive process in single-celled organism",0,"0/30",""
"GO:0044702","GO:0044702","single organism reproductive process",10,"10/30","EGFR/SIRT1/ATM/BRCA2/MTOR/MLH1/MSH2/ERCC1/CDK1/H2AFX"
"GO:0044703","GO:0044703","multi-organism reproductive process",9,"9/30","SIRT1/ATM/BRCA2/MTOR/MLH1/MSH2/ERCC1/CDK1/H2AFX"
"GO:0048609","GO:0048609","multicellular organismal reproductive process",8,"8/30","SIRT1/ATM/BRCA2/MTOR/MLH1/MSH2/ERCC1/H2AFX"
"GO:2000241","GO:2000241","regulation of reproductive process",0,"0/30",""
"GO:2000242","GO:2000242","negative regulation of reproductive process",0,"0/30",""
"GO:2000243","GO:2000243","positive regulation of reproductive process",0,"0/30",""
"GO:0007155","GO:0007155","cell adhesion",4,"4/30","TP53/EGFR/MTOR/ABL1"
"GO:0007302","GO:0007302","nurse cell nucleus anchoring",0,"0/30",""
"GO:0022608","GO:0022608","multicellular organism adhesion",0,"0/30",""
"GO:0044406","GO:0044406","adhesion of symbiont to host",0,"0/30",""
"GO:0023051","GO:0023051","regulation of signaling",13,"13/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MTOR/EP300/ABL1/MAPK8/UBC/CDK1/HMGB1"
"GO:0023056","GO:0023056","positive regulation of signaling",11,"11/30","TP53/EGFR/SIRT1/PARP1/ATM/MTOR/ABL1/MAPK8/UBC/CDK1/HMGB1"
"GO:0023057","GO:0023057","negative regulation of signaling",6,"6/30","TP53/BRCA1/EGFR/SIRT1/ABL1/UBC"
"GO:0035636","GO:0035636","multi-organism signaling",0,"0/30",""
"GO:0044700","GO:0044700","single organism signaling",19,"19/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/BRCA2/MTOR/MLH1/EP300/MSH2/ABL1/MAPK8/NPM1/UBC/CHEK2/CDK1/CDK2/HMGB1"
"GO:0044706","GO:0044706","multi-multicellular organism process",0,"0/30",""
"GO:0044707","GO:0044707","single-multicellular organism process",25,"25/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/XRCC1/MLH1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/ERCC1/UBC/CDK1/CDK2/H2AFX/HMGB1/WRN/FTO"
"GO:0051239","GO:0051239","regulation of multicellular organismal process",12,"12/30","TP53/BRCA1/PARP1/BRCA2/MTOR/EP300/ABL1/MAPK8/UBC/CDK1/HMGB1/FTO"
"GO:0051240","GO:0051240","positive regulation of multicellular organismal process",7,"7/30","BRCA1/PARP1/EP300/ABL1/MAPK8/UBC/HMGB1"
"GO:0051241","GO:0051241","negative regulation of multicellular organismal process",4,"4/30","TP53/BRCA2/UBC/HMGB1"
"GO:0009653","GO:0009653","anatomical structure morphogenesis",11,"11/30","TP53/BRCA1/EGFR/SIRT1/ATM/ERCC2/EP300/ABL1/MAPK8/ERCC1/UBC"
"GO:0009838","GO:0009838","abscission",0,"0/30",""
"GO:0009847","GO:0009847","spore germination",0,"0/30",""
"GO:0048646","GO:0048646","anatomical structure formation involved in morphogenesis",7,"7/30","TP53/BRCA1/SIRT1/ATM/ERCC2/EP300/ERCC1"
"GO:0022611","GO:0022611","dormancy process",0,"0/30",""
"GO:0044111","GO:0044111","development involved in symbiotic interaction",0,"0/30",""
"GO:0044767","GO:0044767","single-organism developmental process",28,"28/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/XRCC1/MLH1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/CDK2/H2AFX/HMGB1/WRN/FTO"
"GO:0048856","GO:0048856","anatomical structure development",24,"24/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/XRCC1/MLH1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/ERCC1/UBC/CDK1/CDK2/H2AFX/HMGB1/FTO"
"GO:0050793","GO:0050793","regulation of developmental process",11,"11/30","TP53/BRCA1/SIRT1/BRCA2/MTOR/EP300/ABL1/MAPK8/CDK1/HMGB1/FTO"
"GO:0051093","GO:0051093","negative regulation of developmental process",4,"4/30","TP53/SIRT1/BRCA2/ABL1"
"GO:0051094","GO:0051094","positive regulation of developmental process",6,"6/30","BRCA1/SIRT1/MTOR/EP300/ABL1/MAPK8"
"GO:0098727","GO:0098727","maintenance of cell number",0,"0/30",""
"GO:0031987","GO:0031987","locomotion involved in locomotory behavior",0,"0/30",""
"GO:0033058","GO:0033058","directional locomotion",0,"0/30",""
"GO:0036268","GO:0036268","swimming",0,"0/30",""
"GO:0040012","GO:0040012","regulation of locomotion",3,"3/30","EGFR/ABL1/HMGB1"
"GO:0040013","GO:0040013","negative regulation of locomotion",1,"1/30","HMGB1"
"GO:0040017","GO:0040017","positive regulation of locomotion",2,"2/30","EGFR/HMGB1"
"GO:0042330","GO:0042330","taxis",4,"4/30","EGFR/ABL1/UBC/HMGB1"
"GO:0048870","GO:0048870","cell motility",5,"5/30","EGFR/ABL1/MAPK8/CDK1/HMGB1"
"GO:0051821","GO:0051821","dissemination or transmission of organism from other organism involved in symbiotic interaction",0,"0/30",""
"GO:0052192","GO:0052192","movement in environment of other organism involved in symbiotic interaction",0,"0/30",""
"GO:0060361","GO:0060361","flight",0,"0/30",""
"GO:0001788","GO:0001788","antibody-dependent cellular cytotoxicity",0,"0/30",""
"GO:0001913","GO:0001913","T cell mediated cytotoxicity",0,"0/30",""
"GO:0006791","GO:0006791","sulfur utilization",0,"0/30",""
"GO:0006794","GO:0006794","phosphorus utilization",0,"0/30",""
"GO:0042267","GO:0042267","natural killer cell mediated cytotoxicity",0,"0/30",""
"GO:0007624","GO:0007624","ultradian rhythm",0,"0/30",""
"GO:0008283","GO:0008283","cell proliferation",14,"14/30","TP53/BRCA1/EGFR/SIRT1/ATM/BRCA2/MTOR/PCNA/ERCC2/ABL1/NPM1/ERCC1/CDK2/FTO"
"GO:0009758","GO:0009758","carbohydrate utilization",1,"1/30","MTOR"
"GO:0015976","GO:0015976","carbon utilization",0,"0/30",""
"GO:0016265","GO:0016265","death",20,"20/30","TP53/BRCA1/EGFR/SIRT1/ATM/MGMT/BRCA2/MLH1/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/OGG1/UBC/CHEK2/CDK1/HMGB1/WRN"
"GO:0019740","GO:0019740","nitrogen utilization",0,"0/30",""
"GO:0022602","GO:0022602","ovulation cycle process",1,"1/30","SIRT1"
"GO:0043473","GO:0043473","pigmentation",0,"0/30",""
"GO:0098602","GO:0098602","single organism cell adhesion",4,"4/30","TP53/EGFR/MTOR/ABL1"
"GO:1902578","GO:1902578","single-organism localization",15,"15/30","TP53/EGFR/SIRT1/PARP1/BRCA2/MTOR/MLH1/EP300/ABL1/MAPK8/OGG1/UBC/CDK2/HMGB1/WRN"
"GO:0022403","GO:0022403","cell cycle phase",0,"0/30",""
"GO:0022601","GO:0022601","menstrual cycle phase",0,"0/30",""
"GO:0044851","GO:0044851","hair cycle phase",0,"0/30",""
"GO:0060206","GO:0060206","estrous cycle phase",0,"0/30",""
"GO:0072690","GO:0072690","single-celled organism vegetative growth phase",0,"0/30",""
"GO:0007623","GO:0007623","circadian rhythm",5,"5/30","TP53/SIRT1/EP300/MAPK8/UBC"
"GO:0042698","GO:0042698","ovulation cycle",1,"1/30","SIRT1"
"GO:0010884","GO:0010884","positive regulation of lipid storage",0,"0/30",""
"GO:0032846","GO:0032846","positive regulation of homeostatic process",2,"2/30","ABL1/ERCC1"
"GO:0042753","GO:0042753","positive regulation of circadian rhythm",0,"0/30",""
"GO:0043902","GO:0043902","positive regulation of multi-organism process",2,"2/30","ERCC2/EP300"
"GO:0044089","GO:0044089","positive regulation of cellular component biogenesis",3,"3/30","TP53/MTOR/EP300"
"GO:0045760","GO:0045760","positive regulation of action potential",0,"0/30",""
"GO:0045848","GO:0045848","positive regulation of nitrogen utilization",0,"0/30",""
"GO:0045883","GO:0045883","positive regulation of sulfur utilization",0,"0/30",""
"GO:0045949","GO:0045949","positive regulation of phosphorus utilization",0,"0/30",""
"GO:0048584","GO:0048584","positive regulation of response to stimulus",17,"17/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/MTOR/APEX1/PCNA/EP300/ABL1/MAPK8/UBC/CDK1/H2AFX/HMGB1"
"GO:0051050","GO:0051050","positive regulation of transport",8,"8/30","TP53/EGFR/SIRT1/PARP1/EP300/ABL1/MAPK8/HMGB1"
"GO:0051919","GO:0051919","positive regulation of fibrinolysis",0,"0/30",""
"GO:1900097","GO:1900097","positive regulation of dosage compensation by inactivation of X chromosome",0,"0/30",""
"GO:1900237","GO:1900237","positive regulation of induction of conjugation with cellular fusion",0,"0/30",""
"GO:1900273","GO:1900273","positive regulation of long-term synaptic potentiation",0,"0/30",""
"GO:1900454","GO:1900454","positive regulation of long term synaptic depression",0,"0/30",""
"GO:1902474","GO:1902474","positive regulation of protein localization to synapse",0,"0/30",""
"GO:1902632","GO:1902632","positive regulation of membrane hyperpolarization",0,"0/30",""
"GO:1903666","GO:1903666","positive regulation of asexual reproduction",0,"0/30",""
"GO:1903829","GO:1903829","positive regulation of cellular protein localization",5,"5/30","TP53/EGFR/PARP1/EP300/MAPK8"
"GO:1904181","GO:1904181","positive regulation of membrane depolarization",0,"0/30",""
"GO:1904582","GO:1904582","positive regulation of intracellular mRNA localization",0,"0/30",""
"GO:2000327","GO:2000327","positive regulation of ligand-dependent nuclear receptor transcription coactivator activity",0,"0/30",""
"GO:2001108","GO:2001108","positive regulation of Rho guanyl-nucleotide exchange factor activity",0,"0/30",""
"GO:0010888","GO:0010888","negative regulation of lipid storage",0,"0/30",""
"GO:0032845","GO:0032845","negative regulation of homeostatic process",2,"2/30","ABL1/ERCC1"
"GO:0042754","GO:0042754","negative regulation of circadian rhythm",0,"0/30",""
"GO:0043901","GO:0043901","negative regulation of multi-organism process",0,"0/30",""
"GO:0045759","GO:0045759","negative regulation of action potential",0,"0/30",""
"GO:0045847","GO:0045847","negative regulation of nitrogen utilization",0,"0/30",""
"GO:0045882","GO:0045882","negative regulation of sulfur utilization",0,"0/30",""
"GO:0045942","GO:0045942","negative regulation of phosphorus utilization",0,"0/30",""
"GO:0048585","GO:0048585","negative regulation of response to stimulus",8,"8/30","TP53/BRCA1/EGFR/SIRT1/MTOR/ABL1/OGG1/UBC"
"GO:0051051","GO:0051051","negative regulation of transport",2,"2/30","MTOR/HMGB1"
"GO:0051918","GO:0051918","negative regulation of fibrinolysis",0,"0/30",""
"GO:1900096","GO:1900096","negative regulation of dosage compensation by inactivation of X chromosome",0,"0/30",""
"GO:1900272","GO:1900272","negative regulation of long-term synaptic potentiation",0,"0/30",""
"GO:1900453","GO:1900453","negative regulation of long term synaptic depression",0,"0/30",""
"GO:1902631","GO:1902631","negative regulation of membrane hyperpolarization",0,"0/30",""
"GO:1902684","GO:1902684","negative regulation of receptor localization to synapse",0,"0/30",""
"GO:1903665","GO:1903665","negative regulation of asexual reproduction",0,"0/30",""
"GO:1903828","GO:1903828","negative regulation of cellular protein localization",1,"1/30","MTOR"
"GO:1904180","GO:1904180","negative regulation of membrane depolarization",0,"0/30",""
"GO:1904537","GO:1904537","negative regulation of mitotic telomere tethering at nuclear periphery",0,"0/30",""
"GO:1904581","GO:1904581","negative regulation of intracellular mRNA localization",0,"0/30",""
"GO:2000326","GO:2000326","negative regulation of ligand-dependent nuclear receptor transcription coactivator activity",0,"0/30",""
"GO:2001107","GO:2001107","negative regulation of Rho guanyl-nucleotide exchange factor activity",0,"0/30",""
"GO:0006792","GO:0006792","regulation of sulfur utilization",0,"0/30",""
"GO:0006795","GO:0006795","regulation of phosphorus utilization",0,"0/30",""
"GO:0006808","GO:0006808","regulation of nitrogen utilization",0,"0/30",""
"GO:0032844","GO:0032844","regulation of homeostatic process",2,"2/30","ABL1/ERCC1"
"GO:0032879","GO:0032879","regulation of localization",11,"11/30","TP53/EGFR/SIRT1/PARP1/MTOR/EP300/ABL1/MAPK8/OGG1/HMGB1/FTO"
"GO:0042752","GO:0042752","regulation of circadian rhythm",2,"2/30","TP53/MAPK8"
"GO:0043609","GO:0043609","regulation of carbon utilization",0,"0/30",""
"GO:0043610","GO:0043610","regulation of carbohydrate utilization",1,"1/30","MTOR"
"GO:0043900","GO:0043900","regulation of multi-organism process",2,"2/30","ERCC2/EP300"
"GO:0044087","GO:0044087","regulation of cellular component biogenesis",7,"7/30","TP53/BRCA1/MTOR/EP300/ABL1/NPM1/HMGB1"
"GO:0048518","GO:0048518","positive regulation of biological process",26,"26/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN"
"GO:0048519","GO:0048519","negative regulation of biological process",25,"25/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/MLH1/APEX1/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/CDK2/H2AFX/HMGB1"
"GO:0048583","GO:0048583","regulation of response to stimulus",20,"20/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/MTOR/APEX1/PCNA/EP300/ABL1/MAPK8/NPM1/OGG1/UBC/CDK1/RAD51/H2AFX/HMGB1"
"GO:0051917","GO:0051917","regulation of fibrinolysis",0,"0/30",""
"GO:0071898","GO:0071898","regulation of estrogen receptor binding",0,"0/30",""
"GO:0097006","GO:0097006","regulation of plasma lipoprotein particle levels",0,"0/30",""
"GO:0098900","GO:0098900","regulation of action potential",0,"0/30",""
"GO:1900095","GO:1900095","regulation of dosage compensation by inactivation of X chromosome",0,"0/30",""
"GO:1900271","GO:1900271","regulation of long-term synaptic potentiation",0,"0/30",""
"GO:1900452","GO:1900452","regulation of long term synaptic depression",0,"0/30",""
"GO:1902630","GO:1902630","regulation of membrane hyperpolarization",0,"0/30",""
"GO:1903664","GO:1903664","regulation of asexual reproduction",0,"0/30",""
"GO:2001106","GO:2001106","regulation of Rho guanyl-nucleotide exchange factor activity",0,"0/30",""
"GO:0006950","GO:0006950","response to stress",30,"30/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/XRCC1/MLH1/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN/FTO"
"GO:0009605","GO:0009605","response to external stimulus",13,"13/30","TP53/EGFR/SIRT1/MGMT/BRCA2/MTOR/ABL1/MAPK8/ERCC1/OGG1/UBC/HMGB1/WRN"
"GO:0009607","GO:0009607","response to biotic stimulus",3,"3/30","TP53/ABL1/MAPK8"
"GO:0009628","GO:0009628","response to abiotic stimulus",22,"22/30","TP53/BRCA1/EGFR/SIRT1/ATM/MGMT/BRCA2/MTOR/XRCC1/PCNA/ERCC2/EP300/MSH2/MAPK8/ERCC1/OGG1/UBC/CHEK2/RAD51/CDK2/H2AFX/WRN"
"GO:0009719","GO:0009719","response to endogenous stimulus",14,"14/30","TP53/BRCA1/EGFR/SIRT1/PARP1/MGMT/BRCA2/MTOR/EP300/ABL1/OGG1/UBC/RAD51/CDK2"
"GO:0014823","GO:0014823","response to activity",0,"0/30",""
"GO:0014854","GO:0014854","response to inactivity",0,"0/30",""
"GO:0014874","GO:0014874","response to stimulus involved in regulation of muscle adaptation",0,"0/30",""
"GO:0042221","GO:0042221","response to chemical",20,"20/30","TP53/BRCA1/EGFR/SIRT1/PARP1/MGMT/BRCA2/MTOR/XRCC1/PCNA/EP300/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/RAD51/CDK2/HMGB1"
"GO:0043500","GO:0043500","muscle adaptation",2,"2/30","PARP1/EP300"
"GO:0051606","GO:0051606","detection of stimulus",3,"3/30","PARP1/PCNA/UBC"
