"","ID","Description","Count","GeneRatio","geneID"
"GO:0008307","GO:0008307","structural constituent of muscle",0,"0/30",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/30",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/30",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/30",""
"GO:0030280","GO:0030280","structural constituent of epidermis",0,"0/30",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/30",""
"GO:0032947","GO:0032947","protein complex scaffold",0,"0/30",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/30",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/30",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/30",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/30",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/30",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",0,"0/30",""
"GO:0022857","GO:0022857","transmembrane transporter activity",0,"0/30",""
"GO:0005326","GO:0005326","neurotransmitter transporter activity",0,"0/30",""
"GO:0005487","GO:0005487","nucleocytoplasmic transporter activity",0,"0/30",""
"GO:0051183","GO:0051183","vitamin transporter activity",0,"0/30",""
"GO:0051184","GO:0051184","cofactor transporter activity",0,"0/30",""
"GO:0015567","GO:0015567","alkane transporter activity",0,"0/30",""
"GO:0015607","GO:0015607","fatty-acyl-CoA transporter activity",0,"0/30",""
"GO:0019534","GO:0019534","toxin transporter activity",0,"0/30",""
"GO:0022892","GO:0022892","substrate-specific transporter activity",0,"0/30",""
"GO:0042910","GO:0042910","xenobiotic transporter activity",0,"0/30",""
"GO:0042927","GO:0042927","siderophore transporter activity",0,"0/30",""
"GO:0043563","GO:0043563","odorant transporter activity",0,"0/30",""
"GO:0090484","GO:0090484","drug transporter activity",0,"0/30",""
"GO:1901476","GO:1901476","carbohydrate transporter activity",0,"0/30",""
"GO:1901505","GO:1901505","carbohydrate derivative transporter activity",0,"0/30",""
"GO:0000035","GO:0000035","acyl binding",0,"0/30",""
"GO:0005515","GO:0005515","protein binding",28,"28/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/BRCA2/MTOR/XRCC1/MLH1/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN"
"GO:0001871","GO:0001871","pattern binding",0,"0/30",""
"GO:0003823","GO:0003823","antigen binding",1,"1/30","EP300"
"GO:0030246","GO:0030246","carbohydrate binding",0,"0/30",""
"GO:0005549","GO:0005549","odorant binding",0,"0/30",""
"GO:0008289","GO:0008289","lipid binding",1,"1/30","HMGB1"
"GO:0008144","GO:0008144","drug binding",1,"1/30","MTOR"
"GO:0008430","GO:0008430","selenium binding",0,"0/30",""
"GO:0019825","GO:0019825","oxygen binding",0,"0/30",""
"GO:0015643","GO:0015643","toxic substance binding",0,"0/30",""
"GO:0019808","GO:0019808","polyamine binding",0,"0/30",""
"GO:0050840","GO:0050840","extracellular matrix binding",0,"0/30",""
"GO:0031409","GO:0031409","pigment binding",0,"0/30",""
"GO:0033218","GO:0033218","amide binding",0,"0/30",""
"GO:0033226","GO:0033226","2-aminoethylphosphonate binding",0,"0/30",""
"GO:0035731","GO:0035731","dinitrosyl-iron complex binding",0,"0/30",""
"GO:0036094","GO:0036094","small molecule binding",16,"16/30","TP53/EGFR/SIRT1/PARP1/ATM/MTOR/MLH1/ERCC2/MSH2/ABL1/MAPK8/CHEK2/CDK1/RAD51/CDK2/WRN"
"GO:0042165","GO:0042165","neurotransmitter binding",0,"0/30",""
"GO:0042562","GO:0042562","hormone binding",0,"0/30",""
"GO:0043167","GO:0043167","ion binding",21,"21/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/MTOR/MLH1/APEX1/ERCC2/EP300/MSH2/ABL1/MAPK8/CHEK2/CDK1/RAD51/CDK2/WRN/FTO"
"GO:0043176","GO:0043176","amine binding",0,"0/30",""
"GO:0043287","GO:0043287","poly(3-hydroxyalkanoate) binding",0,"0/30",""
"GO:0046812","GO:0046812","host cell surface binding",0,"0/30",""
"GO:0044877","GO:0044877","macromolecular complex binding",18,"18/30","TP53/EGFR/SIRT1/PARP1/ATM/MTOR/MLH1/APEX1/PCNA/EP300/MSH2/ABL1/NPM1/OGG1/RAD51/CDK2/HMGB1/WRN"
"GO:0046790","GO:0046790","virion binding",0,"0/30",""
"GO:0046848","GO:0046848","hydroxyapatite binding",0,"0/30",""
"GO:0046904","GO:0046904","calcium oxalate binding",0,"0/30",""
"GO:0048037","GO:0048037","cofactor binding",2,"2/30","SIRT1/PARP1"
"GO:0050436","GO:0050436","microfibril binding",0,"0/30",""
"GO:0050824","GO:0050824","water binding",0,"0/30",""
"GO:0050997","GO:0050997","quaternary ammonium group binding",0,"0/30",""
"GO:0051540","GO:0051540","metal cluster binding",1,"1/30","ERCC2"
"GO:0060090","GO:0060090","binding, bridging",0,"0/30",""
"GO:0070026","GO:0070026","nitric oxide binding",0,"0/30",""
"GO:0072328","GO:0072328","alkene binding",0,"0/30",""
"GO:0072341","GO:0072341","modified amino acid binding",0,"0/30",""
"GO:0097159","GO:0097159","organic cyclic compound binding",29,"29/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/XRCC1/MLH1/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN"
"GO:0097243","GO:0097243","flavonoid binding",0,"0/30",""
"GO:0097367","GO:0097367","carbohydrate derivative binding",15,"15/30","TP53/EGFR/ATM/MTOR/MLH1/ERCC2/MSH2/ABL1/MAPK8/CHEK2/CDK1/RAD51/CDK2/HMGB1/WRN"
"GO:1901363","GO:1901363","heterocyclic compound binding",29,"29/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/XRCC1/MLH1/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN"
"GO:1901567","GO:1901567","fatty acid derivative binding",0,"0/30",""
"GO:1901681","GO:1901681","sulfur compound binding",0,"0/30",""
"GO:1902670","GO:1902670","carbon dioxide binding",0,"0/30",""
"GO:1904012","GO:1904012","platinum binding",0,"0/30",""
"GO:1904013","GO:1904013","xenon atom binding",0,"0/30",""
"GO:1904483","GO:1904483","synthetic cannabinoid binding",0,"0/30",""
"GO:1904493","GO:1904493","tetrahydrofolyl-poly(glutamate) polymer binding",0,"0/30",""
"GO:1904517","GO:1904517","MgATP(2-) binding",0,"0/30",""
"GO:0004362","GO:0004362","glutathione-disulfide reductase activity",0,"0/30",""
"GO:0004601","GO:0004601","peroxidase activity",0,"0/30",""
"GO:0004784","GO:0004784","superoxide dismutase activity",0,"0/30",""
"GO:0004791","GO:0004791","thioredoxin-disulfide reductase activity",0,"0/30",""
"GO:0032542","GO:0032542","sulfiredoxin activity",0,"0/30",""
"GO:0045174","GO:0045174","glutathione dehydrogenase (ascorbate) activity",0,"0/30",""
"GO:0050605","GO:0050605","superoxide reductase activity",0,"0/30",""
"GO:0051920","GO:0051920","peroxiredoxin activity",0,"0/30",""
"GO:0016531","GO:0016531","copper chaperone activity",0,"0/30",""
"GO:0034986","GO:0034986","iron chaperone activity",0,"0/30",""
"GO:1902379","GO:1902379","chemoattractant activity involved in axon guidance",0,"0/30",""
"GO:0030371","GO:0030371","translation repressor activity",0,"0/30",""
"GO:0045183","GO:0045183","translation factor activity, non-nucleic acid binding",0,"0/30",""
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding",0,"0/30",""
"GO:0004871","GO:0004871","signal transducer activity",2,"2/30","EGFR/MAPK8"
"GO:0004872","GO:0004872","receptor activity",1,"1/30","EGFR"
"GO:0031992","GO:0031992","energy transducer activity",0,"0/30",""
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity",0,"0/30",""
"GO:0016247","GO:0016247","channel regulator activity",0,"0/30",""
"GO:0030234","GO:0030234","enzyme regulator activity",5,"5/30","TP53/EGFR/PCNA/MAPK8/NPM1"
"GO:0030545","GO:0030545","receptor regulator activity",0,"0/30",""
